customer_id,customer_name,category_count
6597,Customer_6597,7
96385,Customer_96385,7
6414,Customer_6414,7
31859,Customer_31859,7
51495,Customer_51495,7
42613,Customer_42613,7
57292,Customer_57292,7
84622,Customer_84622,7
44384,Customer_44384,7
92869,Customer_92869,7
79946,Customer_79946,7
10347,Customer_10347,7
86079,Customer_86079,7
85343,Customer_85343,7
4082,Customer_4082,7
63094,Customer_63094,7
24939,Customer_24939,7
4254,Customer_4254,7
69494,Customer_69494,7
41194,Customer_41194,7
29035,Customer_29035,7
42661,Customer_42661,7
7222,Customer_7222,7
60672,Customer_60672,7
26241,Customer_26241,7
51838,Customer_51838,7
80457,Customer_80457,7
82420,Customer_82420,7
79064,Customer_79064,7
62071,Customer_62071,7
68054,Customer_68054,7
14497,Customer_14497,7
32942,Customer_32942,7
58138,Customer_58138,7
66858,Customer_66858,7
88577,Customer_88577,7
33515,Customer_33515,7
10474,Customer_10474,7
93089,Customer_93089,7
24067,Customer_24067,7
55044,Customer_55044,7
56848,Customer_56848,7
16729,Customer_16729,7
79137,Customer_79137,7
25640,Customer_25640,7
75603,Customer_75603,7
54361,Customer_54361,7
93020,Customer_93020,7
25240,Customer_25240,7
52297,Customer_52297,7
10694,Customer_10694,7
22940,Customer_22940,7
63711,Customer_63711,7
7223,Customer_7223,7
56730,Customer_56730,7
21920,Customer_21920,7
13504,Customer_13504,7
30960,Customer_30960,7
13205,Customer_13205,7
13915,Customer_13915,7
56902,Customer_56902,7
25453,Customer_25453,7
96239,Customer_96239,7
70769,Customer_70769,7
40298,Customer_40298,7
83461,Customer_83461,7
15893,Customer_15893,7
53119,Customer_53119,7
56576,Customer_56576,7
83449,Customer_83449,7
85237,Customer_85237,7
78461,Customer_78461,7
15624,Customer_15624,7
21584,Customer_21584,7
51800,Customer_51800,7
57017,Customer_57017,7
12373,Customer_12373,7
36974,Customer_36974,7
93635,Customer_93635,7
8507,Customer_8507,7
98768,Customer_98768,7
62098,Customer_62098,7
82112,Customer_82112,7
70761,Customer_70761,7
15458,Customer_15458,7
71537,Customer_71537,7
82220,Customer_82220,7
51845,Customer_51845,7
19048,Customer_19048,7
36459,Customer_36459,7
91989,Customer_91989,7
29753,Customer_29753,7
36738,Customer_36738,7
11314,Customer_11314,7
83783,Customer_83783,7
58423,Customer_58423,7
53516,Customer_53516,7
29399,Customer_29399,7
26887,Customer_26887,7
22873,Customer_22873,7
55035,Customer_55035,7
64863,Customer_64863,7
97689,Customer_97689,7
67724,Customer_67724,7
85642,Customer_85642,7
57939,Customer_57939,7
11581,Customer_11581,7
65605,Customer_65605,7
44329,Customer_44329,7
78577,Customer_78577,7
58156,Customer_58156,7
34545,Customer_34545,7
87355,Customer_87355,7
67243,Customer_67243,7
70167,Customer_70167,7
56374,Customer_56374,7
73875,Customer_73875,7
15570,Customer_15570,7
1137,Customer_1137,7
88989,Customer_88989,7
94076,Customer_94076,7
15964,Customer_15964,7
1588,Customer_1588,7
6206,Customer_6206,7
17221,Customer_17221,7
41157,Customer_41157,7
10452,Customer_10452,7
59099,Customer_59099,7
14196,Customer_14196,7
68318,Customer_68318,7
80526,Customer_80526,7
97472,Customer_97472,7
84144,Customer_84144,7
98898,Customer_98898,7
35229,Customer_35229,7
75258,Customer_75258,7
46166,Customer_46166,7
13566,Customer_13566,7
37245,Customer_37245,7
97792,Customer_97792,7
6018,Customer_6018,7
55097,Customer_55097,7
41795,Customer_41795,7
11161,Customer_11161,7
91551,Customer_91551,7
14849,Customer_14849,7
42774,Customer_42774,7
77169,Customer_77169,7
22051,Customer_22051,7
36725,Customer_36725,7
410,Customer_410,7
75713,Customer_75713,7
89816,Customer_89816,7
79662,Customer_79662,7
48593,Customer_48593,7
31744,Customer_31744,7
20,Customer_20,7
95191,Customer_95191,7
26738,Customer_26738,7
68500,Customer_68500,7
64907,Customer_64907,7
53118,Customer_53118,7
61137,Customer_61137,7
84814,Customer_84814,7
46860,Customer_46860,7
84718,Customer_84718,7
63829,Customer_63829,7
86874,Customer_86874,7
22694,Customer_22694,7
64427,Customer_64427,7
3674,Customer_3674,7
65336,Customer_65336,7
79437,Customer_79437,7
7577,Customer_7577,7
73599,Customer_73599,7
82158,Customer_82158,7
92850,Customer_92850,7
60510,Customer_60510,7
66882,Customer_66882,7
63650,Customer_63650,7
95024,Customer_95024,7
58830,Customer_58830,7
69905,Customer_69905,7
58388,Customer_58388,7
10825,Customer_10825,7
47186,Customer_47186,7
26710,Customer_26710,7
35790,Customer_35790,7
65130,Customer_65130,7
26059,Customer_26059,7
4658,Customer_4658,7
65346,Customer_65346,7
92178,Customer_92178,7
58042,Customer_58042,7
94189,Customer_94189,7
16931,Customer_16931,7
28336,Customer_28336,7
24554,Customer_24554,7
67078,Customer_67078,7
68384,Customer_68384,7
8120,Customer_8120,7
16844,Customer_16844,7
4488,Customer_4488,7
17484,Customer_17484,7
19709,Customer_19709,7
91925,Customer_91925,7
12056,Customer_12056,7
52383,Customer_52383,7
51296,Customer_51296,7
10872,Customer_10872,7
20232,Customer_20232,7
45027,Customer_45027,7
3533,Customer_3533,7
88462,Customer_88462,7
24303,Customer_24303,7
62574,Customer_62574,7
32916,Customer_32916,7
12973,Customer_12973,7
40660,Customer_40660,7
34269,Customer_34269,7
5996,Customer_5996,7
92417,Customer_92417,7
71110,Customer_71110,7
23266,Customer_23266,7
66698,Customer_66698,7
45669,Customer_45669,7
35943,Customer_35943,7
79694,Customer_79694,7
99385,Customer_99385,7
3269,Customer_3269,7
70403,Customer_70403,7
51111,Customer_51111,7
8950,Customer_8950,7
4457,Customer_4457,7
43187,Customer_43187,7
740,Customer_740,7
11520,Customer_11520,7
55455,Customer_55455,7
37577,Customer_37577,7
26672,Customer_26672,7
23722,Customer_23722,7
45598,Customer_45598,7
4001,Customer_4001,7
13443,Customer_13443,7
78603,Customer_78603,7
56891,Customer_56891,7
18668,Customer_18668,7
8137,Customer_8137,7
17777,Customer_17777,7
4342,Customer_4342,7
7145,Customer_7145,7
26697,Customer_26697,7
80773,Customer_80773,7
43241,Customer_43241,7
80310,Customer_80310,7
8696,Customer_8696,7
59935,Customer_59935,7
58259,Customer_58259,7
34926,Customer_34926,7
65441,Customer_65441,7
21614,Customer_21614,7
19362,Customer_19362,7
77781,Customer_77781,7
42796,Customer_42796,7
61084,Customer_61084,7
87878,Customer_87878,7
63020,Customer_63020,7
94578,Customer_94578,7
59521,Customer_59521,7
18387,Customer_18387,7
68919,Customer_68919,7
77867,Customer_77867,7
73834,Customer_73834,7
33822,Customer_33822,7
19391,Customer_19391,7
61724,Customer_61724,7
24127,Customer_24127,7
7421,Customer_7421,7
90786,Customer_90786,7
29737,Customer_29737,7
45192,Customer_45192,7
56327,Customer_56327,7
9671,Customer_9671,7
31719,Customer_31719,7
79968,Customer_79968,7
32814,Customer_32814,7
67907,Customer_67907,7
72369,Customer_72369,7
36610,Customer_36610,7
19783,Customer_19783,7
12655,Customer_12655,7
97685,Customer_97685,7
43035,Customer_43035,7
52671,Customer_52671,7
50089,Customer_50089,7
13947,Customer_13947,7
99922,Customer_99922,7
65461,Customer_65461,7
72482,Customer_72482,7
19987,Customer_19987,7
23797,Customer_23797,7
54368,Customer_54368,7
43582,Customer_43582,7
14619,Customer_14619,7
99863,Customer_99863,7
96823,Customer_96823,7
24970,Customer_24970,7
22527,Customer_22527,7
84885,Customer_84885,7
3568,Customer_3568,7
21735,Customer_21735,7
40284,Customer_40284,7
38150,Customer_38150,7
95796,Customer_95796,7
81900,Customer_81900,7
67890,Customer_67890,7
23219,Customer_23219,7
54929,Customer_54929,7
39247,Customer_39247,7
39131,Customer_39131,7
27261,Customer_27261,7
86651,Customer_86651,7
65348,Customer_65348,7
86,Customer_86,7
65227,Customer_65227,7
72723,Customer_72723,7
17271,Customer_17271,7
77638,Customer_77638,7
91739,Customer_91739,7
34833,Customer_34833,7
40968,Customer_40968,7
38996,Customer_38996,7
25105,Customer_25105,7
33422,Customer_33422,7
38500,Customer_38500,7
85551,Customer_85551,7
32940,Customer_32940,7
83061,Customer_83061,7
32575,Customer_32575,7
1434,Customer_1434,7
57452,Customer_57452,7
93831,Customer_93831,7
33239,Customer_33239,7
58243,Customer_58243,7
18769,Customer_18769,7
24486,Customer_24486,7
18823,Customer_18823,7
42541,Customer_42541,7
73191,Customer_73191,7
67847,Customer_67847,7
77708,Customer_77708,7
